source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
/42,0,AURUM_UNITS,/42,0,None,1970-01-01,2099-12-31,
29,0,AURUM_UNITS,29,0,None,1970-01-01,2099-12-31,
MG/DL,0,AURUM_UNITS,MG/DL,8840,UCUM,1970-01-01,2099-12-31,
Litres per Minute,0,AURUM_UNITS,Litres per Minute,8698,UCUM,1970-01-01,2099-12-31,
L.min,0,AURUM_UNITS,L.min,0,None,1970-01-01,2099-12-31,
Total FAST score,0,AURUM_UNITS,Total FAST score,0,None,1970-01-01,2099-12-31,
lt/min,0,AURUM_UNITS,lt/min,0,None,1970-01-01,2099-12-31,
mL/min/mmHg/L,0,AURUM_UNITS,mL/min/mmHg/L,0,None,1970-01-01,2099-12-31,
mg/mmol,0,AURUM_UNITS,mg/mmol,44777612,UCUM,1970-01-01,2099-12-31,
/45,0,AURUM_UNITS,/45,0,None,1970-01-01,2099-12-31,
lt/sec,0,AURUM_UNITS,lt/sec,0,None,1970-01-01,2099-12-31,
30,0,AURUM_UNITS,30,0,None,1970-01-01,2099-12-31,
litres/min,0,AURUM_UNITS,litres/min,8698,UCUM,1970-01-01,2099-12-31,
l/l,0,AURUM_UNITS,l/l,0,None,1970-01-01,2099-12-31,
mL/s,0,AURUM_UNITS,mL/s,44777614,UCUM,1970-01-01,2099-12-31,
U,0,AURUM_UNITS,U,0,None,1970-01-01,2099-12-31,
mg/mmol(creat),0,AURUM_UNITS,mg/mmol(creat),0,None,1970-01-01,2099-12-31,
litres/minute,0,AURUM_UNITS,litres/minute,8698,UCUM,1970-01-01,2099-12-31,
/5,0,AURUM_UNITS,/5,0,None,1970-01-01,2099-12-31,
L/M,0,AURUM_UNITS,L/M,0,None,1970-01-01,2099-12-31,
340,0,AURUM_UNITS,340,0,None,1970-01-01,2099-12-31,
u/L,0,AURUM_UNITS,u/L,8645,UCUM,1970-01-01,2099-12-31,
ltr/min,0,AURUM_UNITS,ltr/min,0,None,1970-01-01,2099-12-31,
