count,enttype,category,description,data,data_fields,source_value,target_concept_id
217494,98,Elderly,Next of kin - elderly,Next of Kin,1,98-Elderly-Next of kin - elderly-Next of Kin,0
682854,96,Examination Findings,Heart examination,Sounds,3,96-Examination Findings-Heart examination-Sounds,4158197
682854,96,Examination Findings,Heart examination,Size/Failure,3,96-Examination Findings-Heart examination-Size/Failure,0
682854,96,Examination Findings,Heart examination,Rhythm,3,96-Examination Findings-Heart examination-Rhythm,3022318
10890447,87,Medical History,Family History,Read Code For Condition,1,87-Medical History-Family History-Read Code For Condition,4167217
434605,86,Epilepsy,Fit details,Sleep state,4,86-Epilepsy-Fit details-Sleep state,0
434605,86,Epilepsy,Fit details,Numeric result,4,86-Epilepsy-Fit details-Numeric result,0
434605,86,Epilepsy,Fit details,Fit Frequency,4,86-Epilepsy-Fit details-Fit Frequency,4017306
434605,86,Epilepsy,Fit details,Fit Aura,4,86-Epilepsy-Fit details-Fit Aura,0
2080717,85,Medical History,Absence of Condition,Read Code For Condition,1,85-Medical History-Absence of Condition-Read Code For Condition,4302931
642121,84,Child Health Surveillance,Vision CHS 6 weeks,Red Reflex right vision,4,84-Child Health Surveillance-Vision CHS 6 weeks-Red Reflex right vision,0
642121,84,Child Health Surveillance,Vision CHS 6 weeks,Red reflex left vision,4,84-Child Health Surveillance-Vision CHS 6 weeks-Red reflex left vision,0
642121,84,Child Health Surveillance,Vision CHS 6 weeks,Follows vision,4,84-Child Health Surveillance-Vision CHS 6 weeks-Follows vision,0
642121,84,Child Health Surveillance,Vision CHS 6 weeks,Fix vision,4,84-Child Health Surveillance-Vision CHS 6 weeks-Fix vision,0
184401,83,Child Health Surveillance,Vision CHS 8 and 18 months,Right visual acuity,2,83-Child Health Surveillance-Vision CHS 8 and 18 months-Right visual acuity,44791883
184401,83,Child Health Surveillance,Vision CHS 8 and 18 months,Left visual acuity,2,83-Child Health Surveillance-Vision CHS 8 and 18 months-Left visual acuity,44791883
99776,82,Child Health Surveillance,Vision CHS 3 years and 41/2 years,Right visual acuity,2,82-Child Health Surveillance-Vision CHS 3 years and 41/2 years-Right visual acuity,44791883
99776,82,Child Health Surveillance,Vision CHS 3 years and 41/2 years,Left visual acuity,2,82-Child Health Surveillance-Vision CHS 3 years and 41/2 years-Left visual acuity,44791883
135879,81,Child Health Surveillance,Muscle tone for 8 months (CHS),Sitting Balance,2,81-Child Health Surveillance-Muscle tone for 8 months (CHS)-Sitting Balance,44791883
135879,81,Child Health Surveillance,Muscle tone for 8 months (CHS),Locomotion,2,81-Child Health Surveillance-Muscle tone for 8 months (CHS)-Locomotion,44791883
595181,80,Child Health Surveillance,Muscle tone for 6 weeks (CHS),Muscle Tone,2,80-Child Health Surveillance-Muscle tone for 6 weeks (CHS)-Muscle Tone,0
595181,80,Child Health Surveillance,Muscle tone for 6 weeks (CHS),Head Control,2,80-Child Health Surveillance-Muscle tone for 6 weeks (CHS)-Head Control,0
289086,79,Child Health Surveillance,CHS squint,Right eye,2,79-Child Health Surveillance-CHS squint-Right eye,0
289086,79,Child Health Surveillance,CHS squint,Left eye,2,79-Child Health Surveillance-CHS squint-Left eye,0
103378,78,Maternity,Stages of labour,3rd Stage,6,78-Maternity-Stages of labour-3rd Stage,4015161
