sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
372-Diagnostic Tests-Scoring test result-43622,372-Diagnostic Tests-Scoring test result-43622,1,,0.3251185119152069,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0/30,372-Diagnostic Tests-Scoring test result-0/30,26,,0.3358718156814575,APPROVED,0,
372-Diagnostic Tests-Scoring test result-SHEF TABLE,372-Diagnostic Tests-Scoring test result-SHEF TABLE,3,,0.344891756772995,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ASK PATIENT,372-Diagnostic Tests-Scoring test result-ASK PATIENT,1,,0.36095166206359863,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AUDIT 8,372-Diagnostic Tests-Scoring test result-AUDIT 8,1,,0.33725404739379883,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ADUIT C,372-Diagnostic Tests-Scoring test result-ADUIT C,26,,0.34032124280929565,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CHD RISK PRED,372-Diagnostic Tests-Scoring test result-CHD RISK PRED,3,,0.3367356061935425,APPROVED,0,
372-Diagnostic Tests-Scoring test result-13% (MEAN 16%,372-Diagnostic Tests-Scoring test result-13% (MEAN 16%,1,,0.2974579632282257,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.236,372-Diagnostic Tests-Scoring test result-0.236,1,,0.34318092465400696,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.019,372-Diagnostic Tests-Scoring test result-0.019,26,,0.35190290212631226,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MOD/SEV,372-Diagnostic Tests-Scoring test result-MOD/SEV,3,,0.32666975259780884,APPROVED,0,
372-Diagnostic Tests-Scoring test result-30X55/20,372-Diagnostic Tests-Scoring test result-30X55/20,1,,0.2960044741630554,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.35,372-Diagnostic Tests-Scoring test result-0.35,26,,0.3562784492969513,APPROVED,0,
372-Diagnostic Tests-Scoring test result-EPND SCALE,372-Diagnostic Tests-Scoring test result-EPND SCALE,1,,0.31942829489707947,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HOSP ANXIETY,372-Diagnostic Tests-Scoring test result-HOSP ANXIETY,3,,0.32920506596565247,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FROM HX,372-Diagnostic Tests-Scoring test result-FROM HX,1,,0.3345814645290375,APPROVED,0,
372-Diagnostic Tests-Scoring test result-41,372-Diagnostic Tests-Scoring test result-41,26,,0.36695992946624756,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CHA2SVASC2,372-Diagnostic Tests-Scoring test result-CHA2SVASC2,1,,0.27205291390419006,APPROVED,0,
372-Diagnostic Tests-Scoring test result-3 X 1.5,372-Diagnostic Tests-Scoring test result-3 X 1.5,3,,0.35205206274986267,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.67,372-Diagnostic Tests-Scoring test result-0.67,1,,0.35428494215011597,APPROVED,0,
372-Diagnostic Tests-Scoring test result-NORMAL,372-Diagnostic Tests-Scoring test result-NORMAL,26,,0.351387083530426,APPROVED,0,
372-Diagnostic Tests-Scoring test result-2.88,372-Diagnostic Tests-Scoring test result-2.88,1,,0.3514273166656494,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ANGINA PAIN,372-Diagnostic Tests-Scoring test result-ANGINA PAIN,3,,0.34454473853111267,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43799,372-Diagnostic Tests-Scoring test result-43799,25,,0.3257143199443817,APPROVED,0,
372-Diagnostic Tests-Scoring test result-BNF AND VISIO,372-Diagnostic Tests-Scoring test result-BNF AND VISIO,1,,0.30848902463912964,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FRAMMMINGHAM,372-Diagnostic Tests-Scoring test result-FRAMMMINGHAM,1,,0.3131750524044037,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.114,372-Diagnostic Tests-Scoring test result-0.114,3,,0.3475457429885864,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43554,372-Diagnostic Tests-Scoring test result-43554,25,,0.3265514075756073,APPROVED,0,
372-Diagnostic Tests-Scoring test result-,372-Diagnostic Tests-Scoring test result-,1,,0.4054262340068817,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CHA2DS2-VASCS,372-Diagnostic Tests-Scoring test result-CHA2DS2-VASCS,1,,0.6823855638504028,APPROVED,37017409,
