source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
1	0	JNJ_TRU_P_SPCLTY	Hospital	38004515	Medicare Specialty	2013-01-06	2099-12-31	
10	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
10	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
100	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
100	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
105	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
105	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
120	0	JNJ_TRU_P_SPCLTY	Chiropractic	38004475	Medicare Specialty	2013-01-06	2099-12-31	
130	0	JNJ_TRU_P_SPCLTY	Podiatry	38004486	Medicare Specialty	2013-01-06	2099-12-31	
140	0	JNJ_TRU_P_SPCLTY	Pain Management	38004494	Medicare Specialty	2013-01-06	2099-12-31	
145	0	JNJ_TRU_P_SPCLTY	Anesthesiology	38004450	Medicare Specialty	2013-01-06	2099-12-31	
15	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
15	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
150	0	JNJ_TRU_P_SPCLTY	Anesthesiology	38004450	Medicare Specialty	2013-01-06	2099-12-31	
160	0	JNJ_TRU_P_SPCLTY	Nuclear Medicine	38004476	Medicare Specialty	2013-01-06	2099-12-31	
170	0	JNJ_TRU_P_SPCLTY	Pathology	38004466	Medicare Specialty	2013-01-06	2099-12-31	
175	0	JNJ_TRU_P_SPCLTY	Pathology	38004466	Medicare Specialty	2013-01-06	2099-12-31	
180	0	JNJ_TRU_P_SPCLTY	Physician/Diagnostic Radiology	38004675	Medicare Specialty	2013-01-06	2099-12-31	
185	0	JNJ_TRU_P_SPCLTY	Physician/Diagnostic Radiology	38004675	Medicare Specialty	2013-01-06	2099-12-31	
20	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
20	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
200	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
200	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
202	0	JNJ_TRU_P_SPCLTY	Osteopathic Manipulative Therapy	38004457	Medicare Specialty	2013-01-06	2099-12-31	
204	0	JNJ_TRU_P_SPCLTY	Internal Medicine	38004456	Medicare Specialty	2013-01-06	2099-12-31	
206	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
206	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
208	0	JNJ_TRU_P_SPCLTY	Colorectal Surgery	38004471	Medicare Specialty	2013-01-06	2099-12-31	
21	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
21	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	32577	Provider	2023-01-20	2099-12-31	
210	0	JNJ_TRU_P_SPCLTY	Urology	38004474	Medicare Specialty	2013-01-06	2099-12-31	
215	0	JNJ_TRU_P_SPCLTY	Dermatology	38004452	Medicare Specialty	2013-01-06	2099-12-31	
22	0	JNJ_TRU_P_SPCLTY	Addiction Medicine	38004498	Medicare Specialty	2013-01-06	2099-12-31	
220	0	JNJ_TRU_P_SPCLTY	Emergency Medicine	38004510	Medicare Specialty	2013-01-06	2099-12-31	
225	0	JNJ_TRU_P_SPCLTY	Hospital	38004515	Medicare Specialty	2013-01-06	2099-12-31	
227	0	JNJ_TRU_P_SPCLTY	Hospice And Palliative Care	45756777	ABMS	2013-01-06	2023-01-20	D
227	0	JNJ_TRU_P_SPCLTY	Hospice And Palliative Care	38004462	Medicare Specialty	2023-01-20	2099-12-31	
23	0	JNJ_TRU_P_SPCLTY	Unknown Physician Specialty	38004514	Medicare Specialty	2013-01-06	2023-01-20	D
