source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
abnormal	0	JNJ_OPTUM_EHR_LABRES	abnormal	45878745	LOINC	1970-01-01	2099-12-31	
absent	0	JNJ_OPTUM_EHR_LABRES	absent	45884086	LOINC	1970-01-01	2099-12-31	
All Target Results were valid. Result for SARS-CoV-2 RNA is Not Detected.	0	JNJ_OPTUM_EHR_LABRES	All Target Results were valid. Result for SARS-CoV-2 RNA is Not Detected.	9190	SNOMED	1970-01-01	2099-12-31	
amber	0	JNJ_OPTUM_EHR_LABRES	amber	0	None	1970-01-01	2099-12-31	
amplified	0	JNJ_OPTUM_EHR_LABRES	amplified	9191	SNOMED	2023-07-26	2099-12-31	
average	0	JNJ_OPTUM_EHR_LABRES	average	45880776	LOINC	2023-07-26	2099-12-31	
borderline	0	JNJ_OPTUM_EHR_LABRES	borderline	45880922	LOINC	2023-07-26	2099-12-31	
canceled	0	JNJ_OPTUM_EHR_LABRES	canceled	0	None	1970-01-01	2099-12-31	
comprehensive	0	JNJ_OPTUM_EHR_LABRES	comprehensive	36310850	LOINC	2023-07-26	2099-12-31	
Current smoker	0	JNJ_OPTUM_EHR_LABRES	Current smoker	4298794	SNOMED	1970-01-01	2024-03-13	D
Current smoker	0	JNJ_OPTUM_EHR_LABRES	Current smoker	903657	OMOP Extension	2024-03-13	2099-12-31	
dark yellow	0	JNJ_OPTUM_EHR_LABRES	dark yellow	0	None	1970-01-01	2099-12-31	
declining	0	JNJ_OPTUM_EHR_LABRES	declining	9189	SNOMED	2023-07-26	2099-12-31	
decreased	0	JNJ_OPTUM_EHR_LABRES	decreased	4053347	SNOMED	2023-07-26	2099-12-31	
deficient	0	JNJ_OPTUM_EHR_LABRES	deficient	4126680	SNOMED	2023-07-26	2099-12-31	
deletion	0	JNJ_OPTUM_EHR_LABRES	deletion	9191	SNOMED	2023-07-26	2099-12-31	
det	0	JNJ_OPTUM_EHR_LABRES	det	4126681	SNOMED	1970-07-07	2099-12-31	
Detected	0	JNJ_OPTUM_EHR_LABRES	Detected	4126681	SNOMED	1970-07-07	2099-12-31	
DETECTED	0	JNJ_OPTUM_EHR_LABRES	DETECTED	4126681	SNOMED	1970-07-07	2099-12-31	
Detected Critical.(*)	0	JNJ_OPTUM_EHR_LABRES	Detected Critical.(*)	4126681	SNOMED	1970-07-07	2099-12-31	
detected; see scanned rep	0	JNJ_OPTUM_EHR_LABRES	detected; see scanned rep	4126681	SNOMED	1970-07-07	2099-12-31	
Detected, see scanned rep	0	JNJ_OPTUM_EHR_LABRES	Detected, see scanned rep	4126681	SNOMED	1970-07-07	2099-12-31	
elevated	0	JNJ_OPTUM_EHR_LABRES	elevated	1620380	LOINC	2023-07-26	2099-12-31	
elevated marked	0	JNJ_OPTUM_EHR_LABRES	elevated marked	9191	SNOMED	2023-07-26	2099-12-31	
elevated minimal	0	JNJ_OPTUM_EHR_LABRES	elevated minimal	1620380	LOINC	2023-07-26	2099-12-31	
elevated significant	0	JNJ_OPTUM_EHR_LABRES	elevated significant	9191	SNOMED	2023-07-26	2099-12-31	
elevated slight	0	JNJ_OPTUM_EHR_LABRES	elevated slight	45883845	LOINC	2023-07-26	2099-12-31	
equivocal	0	JNJ_OPTUM_EHR_LABRES	equivocal	45884087	LOINC	2023-07-26	2099-12-31	
expressed	0	JNJ_OPTUM_EHR_LABRES	expressed	9191	SNOMED	2023-07-26	2099-12-31	
few	0	JNJ_OPTUM_EHR_LABRES	few	45878239	LOINC	1970-01-01	2099-12-31	
genetic mutation carrier	0	JNJ_OPTUM_EHR_LABRES	genetic mutation carrier	9191	SNOMED	2023-07-26	2099-12-31	
High	0	JNJ_OPTUM_EHR_LABRES	High	45876384	LOINC	2023-07-26	2099-12-31	
high expression	0	JNJ_OPTUM_EHR_LABRES	high expression	36308237	LOINC	2023-07-26	2099-12-31	
high risk	0	JNJ_OPTUM_EHR_LABRES	high risk	45878441	LOINC	2023-07-26	2099-12-31	
immunoreactive	0	JNJ_OPTUM_EHR_LABRES	immunoreactive	45881802	LOINC	2023-07-26	2099-12-31	
improved	0	JNJ_OPTUM_EHR_LABRES	improved	45883920	LOINC	2023-07-26	2099-12-31	
indeterminate	0	JNJ_OPTUM_EHR_LABRES	indeterminate	45884091	LOINC	2023-07-26	2099-12-31	
intact	0	JNJ_OPTUM_EHR_LABRES	intact	45878984	LOINC	2023-07-26	2099-12-31	
Intermediate	0	JNJ_OPTUM_EHR_LABRES	Intermediate	45881795	LOINC	2023-07-26	2099-12-31	
intermediate risk	0	JNJ_OPTUM_EHR_LABRES	intermediate risk	46238024	LOINC	2023-07-26	2099-12-31	
loss of expression	0	JNJ_OPTUM_EHR_LABRES	loss of expression	9189	SNOMED	2023-07-26	2099-12-31	
Low	0	JNJ_OPTUM_EHR_LABRES	Low	45881666	LOINC	2023-07-26	2099-12-31	
low expression	0	JNJ_OPTUM_EHR_LABRES	low expression	36310505	LOINC	2023-07-26	2099-12-31	
low expression slight	0	JNJ_OPTUM_EHR_LABRES	low expression slight	36310505	LOINC	2023-07-26	2099-12-31	
low risk	0	JNJ_OPTUM_EHR_LABRES	low risk	45881273	LOINC	2023-07-26	2099-12-31	
many	0	JNJ_OPTUM_EHR_LABRES	many	0	None	1970-01-01	2099-12-31	
methylated	0	JNJ_OPTUM_EHR_LABRES	methylated	9191	SNOMED	2023-07-26	2099-12-31	
moderate	0	JNJ_OPTUM_EHR_LABRES	moderate	45877983	LOINC	1970-01-01	2099-12-31	
mutation	0	JNJ_OPTUM_EHR_LABRES	mutation	45884101	LOINC	2023-07-26	2099-12-31	
mutation stable	0	JNJ_OPTUM_EHR_LABRES	mutation stable	9191	SNOMED	2023-07-26	2099-12-31	
mutation wild-type	0	JNJ_OPTUM_EHR_LABRES	mutation wild-type	9191	SNOMED	2023-07-26	2099-12-31	
nc	0	JNJ_OPTUM_EHR_LABRES	nc	0	None	1970-01-01	2099-12-31	
negative	0	JNJ_OPTUM_EHR_LABRES	negative	45878583	LOINC	1970-01-01	2099-12-31	
Negative	0	JNJ_OPTUM_EHR_LABRES	Negative	9190	SNOMED	1970-01-01	2099-12-31	
NEGATIVE	0	JNJ_OPTUM_EHR_LABRES	NEGATIVE	9190	SNOMED	1970-01-01	2099-12-31	
negative expression	0	JNJ_OPTUM_EHR_LABRES	negative expression	45878583	LOINC	2023-07-26	2099-12-31	
Negative for COVID19 (SARS CoV2) by PCR.	0	JNJ_OPTUM_EHR_LABRES	Negative for COVID19 (SARS CoV2) by PCR.	9190	SNOMED	1970-01-01	2099-12-31	
NEGATIVE-NOT DETECTED	0	JNJ_OPTUM_EHR_LABRES	NEGATIVE-NOT DETECTED	9190	SNOMED	1970-01-01	2099-12-31	
NEGATIVE-NOT DETECTED Reference range: NOT DETECTED	0	JNJ_OPTUM_EHR_LABRES	NEGATIVE-NOT DETECTED Reference range: NOT DETECTED	9190	SNOMED	1970-01-01	2099-12-31	
NEGATIVE Reference range: NEGATIVE	0	JNJ_OPTUM_EHR_LABRES	NEGATIVE Reference range: NEGATIVE	9190	SNOMED	1970-01-01	2099-12-31	
negative strong	0	JNJ_OPTUM_EHR_LABRES	negative strong	45878583	LOINC	2023-07-26	2099-12-31	
negative weak	0	JNJ_OPTUM_EHR_LABRES	negative weak	45878583	LOINC	2023-07-26	2099-12-31	
Never smoked	0	JNJ_OPTUM_EHR_LABRES	Never smoked	4144272	SNOMED	1970-01-01	2024-03-13	D
Never smoked	0	JNJ_OPTUM_EHR_LABRES	Never smoked	903653	OMOP Extension	2024-03-13	2099-12-31	
no	0	JNJ_OPTUM_EHR_LABRES	no	45878245	LOINC	2023-07-26	2099-12-31	
No 2019 nCoV RNA detected	0	JNJ_OPTUM_EHR_LABRES	No 2019 nCoV RNA detected	9190	SNOMED	1970-01-01	2099-12-31	
No 2019 nCoV RNA detected.	0	JNJ_OPTUM_EHR_LABRES	No 2019 nCoV RNA detected.	9190	SNOMED	1970-01-01	2099-12-31	
no express	0	JNJ_OPTUM_EHR_LABRES	no express	36310450	LOINC	2023-07-26	2099-12-31	
no gain	0	JNJ_OPTUM_EHR_LABRES	no gain	45878898	LOINC	2023-07-26	2099-12-31	
no history of mutation	0	JNJ_OPTUM_EHR_LABRES	no history of mutation	0	None	2023-07-26	2099-12-31	
no loss of expression	0	JNJ_OPTUM_EHR_LABRES	no loss of expression	9191	SNOMED	2023-07-26	2099-12-31	
no mutation	0	JNJ_OPTUM_EHR_LABRES	no mutation	9189	SNOMED	2023-07-26	2099-12-31	
none	0	JNJ_OPTUM_EHR_LABRES	none	45878582	LOINC	1970-01-01	2099-12-31	
NONE DET	0	JNJ_OPTUM_EHR_LABRES	NONE DET	9190	SNOMED	1970-01-01	2099-12-31	
none detected	0	JNJ_OPTUM_EHR_LABRES	none detected	9190	SNOMED	1970-01-01	2099-12-31	
None Detected	0	JNJ_OPTUM_EHR_LABRES	None Detected	9190	SNOMED	1970-01-01	2099-12-31	
