source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
0 Echaelon Endopath Staple Line reinforc	0	JNJ_PMR_HOSP_CHG	0 Echaelon Endopath Staple Line reinforc	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echelon Endopath 60mm Staple Line rein	0	JNJ_PMR_HOSP_CHG	0 Echelon Endopath 60mm Staple Line rein	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 echelon endopath staple line reinforce	0	JNJ_PMR_HOSP_CHG	0 echelon endopath staple line reinforce	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echelon endopath staple line reinforce	0	JNJ_PMR_HOSP_CHG	0 Echelon endopath staple line reinforce	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echelon Endopath staple line reinforce	0	JNJ_PMR_HOSP_CHG	0 Echelon Endopath staple line reinforce	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echelon Endopath Staple Line Reinforce	0	JNJ_PMR_HOSP_CHG	0 Echelon Endopath Staple Line Reinforce	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 ECHELON ENDOPATH STAPLE LINE REINFORCE	0	JNJ_PMR_HOSP_CHG	0 ECHELON ENDOPATH STAPLE LINE REINFORCE	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echelon Enopath Staple Line Reinforcem	0	JNJ_PMR_HOSP_CHG	0 Echelon Enopath Staple Line Reinforcem	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 echelon staple line reinforcement	0	JNJ_PMR_HOSP_CHG	0 echelon staple line reinforcement	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 echelon staple reinforcement	0	JNJ_PMR_HOSP_CHG	0 echelon staple reinforcement	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 Echerlon Endopath Staple Line Reinfirc	0	JNJ_PMR_HOSP_CHG	0 Echerlon Endopath Staple Line Reinfirc	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
0 REINFORCEMENT STAPLE LINE ECHELON ENDO	0	JNJ_PMR_HOSP_CHG	0 REINFORCEMENT STAPLE LINE ECHELON ENDO	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
60mm echelon endopath staple line reinfo	0	JNJ_PMR_HOSP_CHG	60mm echelon endopath staple line reinfo	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
60mm Echelon Endopath Staple Line Reinfo	0	JNJ_PMR_HOSP_CHG	60mm Echelon Endopath Staple Line Reinfo	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
BUTTRESS STAPLE LINE REINFORCEMENT ECH60	0	JNJ_PMR_HOSP_CHG	BUTTRESS STAPLE LINE REINFORCEMENT ECH60	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
ech60r	0	JNJ_PMR_HOSP_CHG	ech60r	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ech60R	0	JNJ_PMR_HOSP_CHG	ech60R	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ECH60R	0	JNJ_PMR_HOSP_CHG	ECH60R	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ECH60R ETHICON 60MM ECHELON REINFORCEME	0	JNJ_PMR_HOSP_CHG	ECH60R ETHICON 60MM ECHELON REINFORCEME	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELEON STAPLELINE REINFOECEMENT	0	JNJ_PMR_HOSP_CHG	ECHELEON STAPLELINE REINFOECEMENT	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELO ENDOPATH STAPLE LINE REINFORCEMEN	0	JNJ_PMR_HOSP_CHG	ECHELO ENDOPATH STAPLE LINE REINFORCEMEN	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
Echeloln Endopath Staple Line Reinforcem	0	JNJ_PMR_HOSP_CHG	Echeloln Endopath Staple Line Reinforcem	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELON 60MM REINFORCEMENT ECH60R	0	JNJ_PMR_HOSP_CHG	ECHELON 60MM REINFORCEMENT ECH60R	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELON 60MM REINFORCEMENT (ECH60R)	0	JNJ_PMR_HOSP_CHG	ECHELON 60MM REINFORCEMENT (ECH60R)	2100000002	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELON 60MM STAPLE LINE REINFORCEMENT	0	JNJ_PMR_HOSP_CHG	ECHELON 60MM STAPLE LINE REINFORCEMENT	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
ECHELON EDOPATH STAPLE LINE REINFORCEMEN	0	JNJ_PMR_HOSP_CHG	ECHELON EDOPATH STAPLE LINE REINFORCEMEN	2100000001	JNJ_GENERATED	2023-11-15	2099-12-31	
