source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
109	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
109	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	32577	Provider	2023-01-20	2099-12-31	
145	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
145	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	32577	Provider	2023-01-20	2099-12-31	
147	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
147	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	32577	Provider	2023-01-20	2099-12-31	
34	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
34	0	JNJ_PMR_P_SPCLTY	Other Specialty (OS)	32577	Provider	2023-01-20	2099-12-31	
4001	0	JNJ_PMR_P_SPCLTY	Abdominal Surgery (AS)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4001	0	JNJ_PMR_P_SPCLTY	Abdominal Surgery (AS)	32577	Provider	2023-01-20	2099-12-31	
4002	0	JNJ_PMR_P_SPCLTY	Addiction Medicine (ADM)	38004498	Medicare Specialty	1980-01-01	2099-12-31	
4003	0	JNJ_PMR_P_SPCLTY	Adolescent Medicine (ADL)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4003	0	JNJ_PMR_P_SPCLTY	Adolescent Medicine (ADL)	32577	Provider	2023-01-20	2099-12-31	
4004	0	JNJ_PMR_P_SPCLTY	Allergy and Immunology (AI)	38004448	Medicare Specialty	1980-01-01	2099-12-31	
4005	0	JNJ_PMR_P_SPCLTY	Allergy (A)	38004448	Medicare Specialty	1980-01-01	2099-12-31	
4006	0	JNJ_PMR_P_SPCLTY	Anatomic Pathology (ATP)	38004466	Medicare Specialty	1980-01-01	2099-12-31	
4007	0	JNJ_PMR_P_SPCLTY	Anatomic/Clinical Pathology (PTH)	38004466	Medicare Specialty	1980-01-01	2099-12-31	
4008	0	JNJ_PMR_P_SPCLTY	Anesthesiology (AN)	38004450	Medicare Specialty	1980-01-01	2099-12-31	
4009	0	JNJ_PMR_P_SPCLTY	Blood Banking/Transfusion Medicine (BBK)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4009	0	JNJ_PMR_P_SPCLTY	Blood Banking/Transfusion Medicine (BBK)	32577	Provider	2023-01-20	2099-12-31	
4010	0	JNJ_PMR_P_SPCLTY	Cardiac Electrophysiology (ICE)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4010	0	JNJ_PMR_P_SPCLTY	Cardiac Electrophysiology (ICE)	32577	Provider	2023-01-20	2099-12-31	
4011	0	JNJ_PMR_P_SPCLTY	Cardiovascular Diseases (CD)	38004451	Medicare Specialty	1980-01-01	2099-12-31	
4012	0	JNJ_PMR_P_SPCLTY	Cardiovascular Surgery (CDS)	38004497	Medicare Specialty	1980-01-01	2099-12-31	
4013	0	JNJ_PMR_P_SPCLTY	Certified Nurse Midwife (CNM)	38004482	Medicare Specialty	1980-01-01	2099-12-31	
4014	0	JNJ_PMR_P_SPCLTY	Certified Reg. Nurse Anesthetist (CRNA)	38004483	Medicare Specialty	1980-01-01	2099-12-31	
4015	0	JNJ_PMR_P_SPCLTY	Chemical Pathology (PCH)	38004466	Medicare Specialty	1980-01-01	2099-12-31	
4016	0	JNJ_PMR_P_SPCLTY	Child and Adolescent Psychiatry (CHP)	38004469	Medicare Specialty	1980-01-01	2099-12-31	
4017	0	JNJ_PMR_P_SPCLTY	Chiropractice (CRP)	38004475	Medicare Specialty	1980-01-01	2099-12-31	
4018	0	JNJ_PMR_P_SPCLTY	Clinical Genetics (CG)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4018	0	JNJ_PMR_P_SPCLTY	Clinical Genetics (CG)	32577	Provider	2023-01-20	2099-12-31	
4019	0	JNJ_PMR_P_SPCLTY	Clinical Neurophysiology (CN)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4019	0	JNJ_PMR_P_SPCLTY	Clinical Neurophysiology (CN)	32577	Provider	2023-01-20	2099-12-31	
4020	0	JNJ_PMR_P_SPCLTY	Clinical Pathology (CLP)	38004466	Medicare Specialty	1980-01-01	2099-12-31	
4021	0	JNJ_PMR_P_SPCLTY	Clinical Pharmacology (PA)	38004520	Medicare Specialty	1980-01-01	2023-01-20	D
4021	0	JNJ_PMR_P_SPCLTY	Clinical Pharmacology (PA)	581458	Visit	2023-01-20	2099-12-31	
4022	0	JNJ_PMR_P_SPCLTY	Colon/Rectal Surgery (CRS)	38004471	Medicare Specialty	1980-01-01	2099-12-31	
4023	0	JNJ_PMR_P_SPCLTY	Critical Care Medicine (CCM)	38004500	Medicare Specialty	1980-01-01	2099-12-31	
4024	0	JNJ_PMR_P_SPCLTY	Dental/Oral Surgery (DOR)	38004514	Medicare Specialty	1980-01-01	2023-01-20	D
4024	0	JNJ_PMR_P_SPCLTY	Dental/Oral Surgery (DOR)	32577	Provider	2023-01-20	2099-12-31	
4025	0	JNJ_PMR_P_SPCLTY	Dermatology (D)	38004452	Medicare Specialty	1980-01-01	2099-12-31	
4026	0	JNJ_PMR_P_SPCLTY	Dermatopathology (DMP)	38004466	Medicare Specialty	1980-01-01	2099-12-31	
