source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
_	0	JNJ_UNITS	_	8510	UCUM	2023-01-20	2099-12-31	
-	0	JNJ_UNITS	-	8510	UCUM	2023-01-20	2099-12-31	
.	0	JNJ_UNITS	.	8524	UCUM	2023-01-20	2099-12-31	
'	0	JNJ_UNITS	'	9211	UCUM	2023-01-20	2099-12-31	
''	0	JNJ_UNITS	''	9212	UCUM	2023-01-20	2099-12-31	
{#}	0	JNJ_UNITS	Number	0	None	1970-01-01	2099-12-31	
$	0	JNJ_UNITS	Dollars	0	None	1970-01-01	2099-12-31	
*	0	JNJ_UNITS	*	0	None	1970-01-01	2099-12-31	
%	0	JNJ_UNITS	Percent	8554	UCUM	1970-01-01	2099-12-31	
%{0'to3'hours}	0	JNJ_UNITS	%{0'to3'hours}	9215	UCUM	2023-01-20	2099-12-31	
1	0	JNJ_UNITS	1	32912	UCUM	1970-01-01	2099-12-31	
?:1	0	JNJ_UNITS	?:1	8523	UCUM	2023-01-20	2099-12-31	
/1	0	JNJ_UNITS	/1	9254	UCUM	2023-01-20	2099-12-31	
10	0	JNJ_UNITS	10	9433	UCUM	1970-01-01	2099-12-31	
/10	0	JNJ_UNITS	/10	8662	UCUM	2023-01-20	2099-12-31	
10^	0	JNJ_UNITS	10^	9447	UCUM	2023-01-20	2099-12-31	
10*	0	JNJ_UNITS	10*	9433	UCUM	2023-01-20	2099-12-31	
/100	0	JNJ_UNITS	per 100	8662	UCUM	1970-01-01	2023-01-20	D
/100	0	JNJ_UNITS	per 100	9243	UCUM	2023-01-20	2099-12-31	
1000/cmm	0	JNJ_UNITS	1000/cmm	8848	UCUM	1970-01-01	2099-12-31	
1000/UL	0	JNJ_UNITS	1000/UL	8848	UCUM	1970-01-01	2099-12-31	
/100.{sperm}	0	JNJ_UNITS	/100.{sperm}	9244	UCUM	2023-01-20	2099-12-31	
/100WBC	0	JNJ_UNITS	/100WBC	9032	UCUM	2023-01-20	2099-12-31	
/100 WBC	0	JNJ_UNITS	/100 WBC	9032	UCUM	2023-01-20	2099-12-31	
/100.{WBC}	0	JNJ_UNITS	/100.{WBC}	9032	UCUM	2023-01-20	2099-12-31	
/100(WBC)	0	JNJ_UNITS	/100(WBC)	9032	UCUM	1970-01-01	2099-12-31	
#/100 WBC	0	JNJ_UNITS	#/100 WBC	9032	UCUM	2023-01-20	2099-12-31	
